0 	317 	307
1 	228 	118
2 	194 	51
3 	360 	24
4 	352 	15
5 	347 	10
6 	681 	12
7 	668 	10
8 	658 	8
9 	1303 	5
10 	1289 	6
11 	1275 	6
12 	2513 	12
13 	2377 	29
14 	2251 	28
15 	2343 	229
16 	1759 	80
17 	1470 	57
18 	2249 	90
19 	1921 	50
20 	1724 	31
21 	2218 	141
22 	1865 	56
23 	1655 	40
24 	2224 	140
25 	1851 	55
26 	1650 	47
27 	2225 	135
28 	1836 	70
29 	1593 	45
30 	2268 	121
31 	1910 	65
32 	1674 	54
33 	2209 	125
34 	1865 	54
35 	1667 	41
36 	2268 	132
37 	1900 	59
38 	1672 	46
39 	2219 	144
40 	1818 	59
41 	1612 	36
42 	2236 	130
43 	1900 	54
44 	1683 	51
45 	2219 	143
46 	1851 	64
47 	1604 	42
48 	2217 	129
49 	1870 	57
50 	1657 	46
51 	2286 	126
52 	1921 	64
53 	1687 	47
54 	2243 	139
55 	1861 	62
56 	1626 	46
57 	2221 	139
58 	1828 	62
59 	1612 	41
60 	2237 	141
61 	1827 	65
62 	1604 	45
63 	2222 	133
64 	1852 	70
65 	1597 	51
66 	2178 	126
67 	1851 	63
68 	1626 	53
69 	2240 	139
70 	1869 	61
71 	1642 	51
72 	2228 	138
73 	1820 	63
74 	1599 	48
75 	2250 	123
76 	1914 	59
77 	1688 	49
78 	2209 	138
79 	1853 	68
80 	1599 	46
81 	2202 	138
82 	1839 	63
83 	1607 	50
84 	2207 	113
85 	1885 	63
86 	1661 	58
87 	2175 	144
88 	1796 	67
89 	1565 	50
90 	2193 	119
91 	1855 	69
92 	1619 	42
93 	2222 	131
94 	1862 	63
95 	1630 	52
96 	2240 	134
97 	1871 	58
98 	1656 	47
99 	2269 	141
100 	1852 	64
101 	1631 	51
102 	2207 	146
103 	1825 	68
104 	1578 	59
105 	2263 	114
106 	1906 	55
107 	1712 	41
108 	2283 	135
109 	1918 	64
110 	1667 	42
111 	2240 	138
112 	1867 	67
113 	1616 	57
114 	2201 	137
115 	1830 	65
116 	1601 	45
117 	2203 	123
118 	1864 	51
119 	1676 	40
120 	2225 	145
121 	1823 	73
122 	1564 	51
123 	2118 	137
124 	1773 	59
125 	1560 	48
126 	2181 	124
127 	1844 	56
128 	1649 	43
129 	2274 	129
130 	1915 	54
131 	1701 	37
132 	2213 	170
133 	1777 	78
134 	1496 	57
135 	2263 	107
136 	1919 	59
137 	1705 	45
138 	2259 	143
139 	1865 	60
140 	1642 	49
141 	2211 	126
142 	1836 	61
143 	1625 	50
144 	2324 	114
145 	1978 	52
146 	1748 	53
147 	2211 	153
148 	1820 	77
149 	1552 	63
150 	2265 	99
151 	1947 	56
152 	1722 	43
153 	2272 	157
154 	1835 	67
155 	1592 	46
156 	2210 	138
157 	1818 	64
158 	1587 	45
159 	2280 	111
160 	1950 	49
161 	1754 	36
162 	2247 	157
163 	1809 	72
164 	1547 	54
165 	2263 	115
166 	1892 	59
167 	1683 	41
168 	2253 	137
169 	1892 	55
170 	1676 	52
171 	2207 	148
172 	1792 	70
173 	1551 	53
174 	2163 	118
175 	1826 	55
176 	1633 	44
177 	2256 	151
178 	1843 	66
179 	1594 	53
180 	2201 	122
181 	1870 	66
182 	1628 	52
183 	2192 	142
184 	1793 	54
185 	1612 	38
186 	2165 	156
187 	1765 	63
188 	1542 	49
189 	2235 	112
190 	1908 	58
191 	1693 	52
192 	2222 	152
193 	1811 	83
194 	1514 	56
195 	2227 	111
196 	1899 	46
197 	1733 	38
198 	2187 	162
199 	1767 	57
